"Site","Treatment","Seed_Arrival","PlotID","GNDVI_apr_21","LCI_apr_21","NDRE_apr_21","NDVI_apr_21","OSAVI_apr_21","GNDVI_oct_21","LCI_oct_21","NDRE_oct_21","NDVI_oct_21","OSAVI_oct_21"
1,"BC","SA2",42,0.408404979039107,0.138662843619594,0.117761749426367,0.315732917070021,0.198149067096792,0.390968302073343,0.0979208990557507,0.0815623699699915,0.310173191765776,0.123124141122986
1,"C","SA2",43,0.407413369814622,0.13728570731005,0.116425423746728,0.314965224804344,0.21795091870626,0.418432813099366,0.118563820527652,0.098843087949164,0.32203946931681,0.156373836905032
1,"SM","SA2",44,0.399619518551029,0.13362865437961,0.11460742868383,0.29933812979043,0.201744878000576,0.365419282317958,0.103524299887276,0.0890418087886451,0.267226709604995,0.152228475523237
1,"BC","SA2",45,0.380190043764329,0.126006368985341,0.106755174412839,0.305744037348085,0.177983342695197,0.355495777761548,0.110683810948356,0.0928377046156572,0.302415953132506,0.122844051681036
1,"SM","SA3",46,0.390798653904985,0.135276611162783,0.115412198332752,0.307006029099371,0.174335226988308,0.371605476652833,0.109773616310729,0.0914210219839525,0.307495801804983,0.181132863621317
1,"SM+BC","SA1",47,0.412384443043022,0.149495815239786,0.124378372424214,0.351674550548465,0.163123869019092,0.322938319009738,0.0880072993456919,0.0738758733855036,0.277488416366605,0.141580525404566
1,"C","SA3",48,0.406321084530369,0.13244361301432,0.107238201049558,0.368857952131339,0.150905123235904,0.467168272997564,0.149221606890892,0.120935678868063,0.385129584736514,0.193256106116367
2,"SM","SA1",1,0.443887049233419,0.172681162916416,0.144079868473997,0.371568483187689,0.215789597662729,0.359451769388477,0.082345055641065,0.0698210330837437,0.253869937784027,0.168491213309361
2,"SM+BC","SA2",2,0.385188329341694,0.120043633586921,0.0991631613975944,0.3370847797807,0.203985550473469,0.279584442843791,0.0677549670851258,0.0606836934083456,0.179610002902422,0.113613656905964
2,"BC","SA4",3,0.381293405980286,0.132052960262497,0.111393805567093,0.321056406299247,0.199814604220204,0.31533142994581,0.0944543892845616,0.0828754125578956,0.237115592788831,0.11257343102791
2,"C","SA2",4,0.393731545561469,0.153600306028489,0.130403942470518,0.330905908741267,0.199800152930861,0.35089253273897,0.0923482797977882,0.0796890633319403,0.248473600799535,0.146006706586293
2,"SM","SA4",5,0.389890191799713,0.154366239077927,0.131611605626459,0.327376712981239,0.197525969206881,0.283309616413331,0.0620463134382667,0.0551352767518933,0.18463225430374,0.126719642345665
2,"SM+BC","SA3",6,0.369536344692859,0.127710783402731,0.107468898621309,0.31481962688844,0.182155076762153,0.299419303031505,0.0604684674497024,0.0533661459079557,0.191248073219712,0.128129492672867
2,"BC","SA3",7,0.381493764592541,0.104222476423373,0.0877136131765529,0.292028524917352,0.16737838091539,0.350437475370745,0.0864721579452329,0.0739800679956607,0.255039776196135,0.12546514800217
2,"BC","SA3",8,0.375510644013477,0.0969059652089928,0.0785381545187334,0.329527412910121,0.178528794402572,0.371827638819449,0.10605606524573,0.0878152958235179,0.312571163963328,0.153647192549971
